year,flow,value_usd,n_hs_codes
2000,Exports,51194141,2
2001,Exports,52963228,2
2002,Exports,80925180,2
2003,Exports,249043,2
2004,Exports,105750326,2
2005,Exports,103646948,2
2006,Exports,101295351,2
2007,Exports,94975552,2
2008,Exports,82641538,2
2009,Exports,86920624,2
2010,Exports,127938916,2
2011,Exports,160327040,2
2012,Exports,160058035,2
2013,Exports,144350419,2
2014,Exports,152874508.998,2
2015,Exports,139249532.331,2
2016,Exports,176313040.049,2
2017,Exports,107985855.041,2
2018,Exports,304853376.984,2
2019,Exports,240650550.51299998,2
2020,Exports,318399732.072,2
2021,Exports,336540550.839,2
2022,Exports,389850490.93700004,2
2023,Exports,567293127.851,2
2024,Exports,418934230.814,2
2000,Imports,10661861,2
2001,Imports,13131093,2
2002,Imports,16401382,2
2003,Imports,100361890,2
2004,Imports,15977832,2
2005,Imports,20944227,2
2006,Imports,31201118,2
2007,Imports,41173242,2
2008,Imports,52187472,2
2009,Imports,53663098,2
2010,Imports,56286717,2
2011,Imports,70330356,2
2012,Imports,82312599,2
2013,Imports,83932133,2
2014,Imports,91964805.767,2
2015,Imports,98127390.388,2
2016,Imports,106740775.829,2
2017,Imports,83499126.425,2
2018,Imports,92228579.475,2
2019,Imports,136546141.157,2
2020,Imports,109579631.23,2
2021,Imports,145357432.802,2
2022,Imports,177847159.67000002,2
2023,Imports,162339542.009,2
2024,Imports,206646816.321,2
