year,flow,value_usd,covid_shock,data_source
2005,Exports,251000000,0,unctadstat_real
2006,Exports,301000000,0,unctadstat_real
2007,Exports,355000000,0,unctadstat_real
2008,Exports,438000000,0,unctadstat_real
2009,Exports,398000000,0,unctadstat_real
2010,Exports,429000000,0,unctadstat_real
2011,Exports,627000000,0,unctadstat_real
2012,Exports,950647000,0,unctadstat_real
2013,Exports,1005720000,0,unctadstat_real
2014,Exports,1056720000,0,unctadstat_real
2015,Exports,1143998000,0,unctadstat_real
2016,Exports,1213065000,0,unctadstat_real
2017,Exports,1218508000,0,unctadstat_real
2018,Exports,1709365000,0,unctadstat_real
2019,Exports,1704592000,0,unctadstat_real
2020,Exports,1430387000,1,unctadstat_real
2021,Exports,1139090000,1,unctadstat_real
2022,Exports,1618301000,0,unctadstat_real
2023,Exports,2242461000,0,unctadstat_real
2024,Exports,1960266000,0,unctadstat_real
2005,Imports,994000000,0,unctadstat_real
2006,Imports,1208000000,0,unctadstat_real
2007,Imports,1690000000,0,unctadstat_real
2008,Imports,2382000000,0,unctadstat_real
2009,Imports,1898000000,0,unctadstat_real
2010,Imports,2121000000,0,unctadstat_real
2011,Imports,2547000000,0,unctadstat_real
2012,Imports,3103972000,0,unctadstat_real
2013,Imports,3775660000,0,unctadstat_real
2014,Imports,3406641000,0,unctadstat_real
2015,Imports,3365625000,0,unctadstat_real
2016,Imports,2996870000,0,unctadstat_real
2017,Imports,3353365000,0,unctadstat_real
2018,Imports,3447838000,0,unctadstat_real
2019,Imports,3176009000,0,unctadstat_real
2020,Imports,3220278000,1,unctadstat_real
2021,Imports,3402933000,1,unctadstat_real
2022,Imports,4318458000,0,unctadstat_real
2023,Imports,4472466000,0,unctadstat_real
2024,Imports,4967224000,0,unctadstat_real
