year,flow,sector,value_usd,data_source,covid_shock,red_sea_shock
2005,Exports,Coastal and maritime tourism,150000000,unctadstat_real,0,0
2006,Exports,Coastal and maritime tourism,189000000,unctadstat_real,0,0
2007,Exports,Coastal and maritime tourism,225000000,unctadstat_real,0,0
2008,Exports,Coastal and maritime tourism,277000000,unctadstat_real,0,0
2009,Exports,Coastal and maritime tourism,239000000,unctadstat_real,0,0
2010,Exports,Coastal and maritime tourism,271000000,unctadstat_real,0,0
2011,Exports,Coastal and maritime tourism,346000000,unctadstat_real,0,0
2012,Exports,Coastal and maritime tourism,381000000,unctadstat_real,0,0
2013,Exports,Coastal and maritime tourism,450000000,unctadstat_real,0,0
2014,Exports,Coastal and maritime tourism,485000000,unctadstat_real,0,0
2015,Exports,Coastal and maritime tourism,558000000,unctadstat_real,0,0
2016,Exports,Coastal and maritime tourism,631000000,unctadstat_real,0,0
2017,Exports,Coastal and maritime tourism,655000000,unctadstat_real,0,0
2018,Exports,Coastal and maritime tourism,659000000,unctadstat_real,0,0
2019,Exports,Coastal and maritime tourism,679000000,unctadstat_real,0,0
2020,Exports,Coastal and maritime tourism,173000000,unctadstat_real,1,0
2021,Exports,Coastal and maritime tourism,163000000,unctadstat_real,1,0
2022,Exports,Coastal and maritime tourism,581000000,unctadstat_real,0,0
2023,Exports,Coastal and maritime tourism,1009000000,unctadstat_real,0,0
2024,Exports,Coastal and maritime tourism,1049000000,unctadstat_real,0,0
2005,Imports,Coastal and maritime tourism,138000000,unctadstat_real,0,0
2006,Imports,Coastal and maritime tourism,152000000,unctadstat_real,0,0
2007,Imports,Coastal and maritime tourism,166000000,unctadstat_real,0,0
2008,Imports,Coastal and maritime tourism,182000000,unctadstat_real,0,0
2009,Imports,Coastal and maritime tourism,194000000,unctadstat_real,0,0
2010,Imports,Coastal and maritime tourism,222000000,unctadstat_real,0,0
2011,Imports,Coastal and maritime tourism,250000000,unctadstat_real,0,0
2012,Imports,Coastal and maritime tourism,279000000,unctadstat_real,0,0
2013,Imports,Coastal and maritime tourism,309000000,unctadstat_real,0,0
2014,Imports,Coastal and maritime tourism,366000000,unctadstat_real,0,0
2015,Imports,Coastal and maritime tourism,415000000,unctadstat_real,0,0
2016,Imports,Coastal and maritime tourism,547000000,unctadstat_real,0,0
