year,flow,sector,value_usd
2018,Exports,[cross-check] Ocean-related services,1273000000
2019,Exports,[cross-check] Ocean-related services,1331000000
2020,Exports,[cross-check] Ocean-related services,891000000
2021,Exports,[cross-check] Ocean-related services,558000000
2022,Exports,[cross-check] Ocean-related services,968000000
2023,Exports,[cross-check] Ocean-related services,1383000000
2024,Exports,[cross-check] Ocean-related services,1260000000
2011,Imports,[cross-check] Ocean-related services,2546000000
2012,Imports,[cross-check] Ocean-related services,3037000000
2013,Imports,[cross-check] Ocean-related services,3711000000
2014,Imports,[cross-check] Ocean-related services,3329000000
2015,Imports,[cross-check] Ocean-related services,3277000000
2016,Imports,[cross-check] Ocean-related services,2895000000
2017,Imports,[cross-check] Ocean-related services,3266000000
2018,Imports,[cross-check] Ocean-related services,3355000000
2019,Imports,[cross-check] Ocean-related services,3051000000
2020,Imports,[cross-check] Ocean-related services,3077000000
2021,Imports,[cross-check] Ocean-related services,3264000000
2022,Imports,[cross-check] Ocean-related services,4139000000
2023,Imports,[cross-check] Ocean-related services,4283000000
2024,Imports,[cross-check] Ocean-related services,4719000000
2012,Exports,[cross-check] Total,452388000
2013,Exports,[cross-check] Total,431922000
2014,Exports,[cross-check] Total,551490000
2015,Exports,[cross-check] Total,418055000
2016,Exports,[cross-check] Total,523977000
2017,Exports,[cross-check] Total,455886000
2018,Exports,[cross-check] Total,1038144000
2019,Exports,[cross-check] Total,1243272000
2020,Exports,[cross-check] Total,2064019000
2021,Exports,[cross-check] Total,1352599000
2022,Exports,[cross-check] Total,993812000
2023,Exports,[cross-check] Total,1291124000
2024,Exports,[cross-check] Total,1406080000
2012,Imports,[cross-check] Total,811438000
2013,Imports,[cross-check] Total,837141000
2014,Imports,[cross-check] Total,748970000
2015,Imports,[cross-check] Total,859368000
2016,Imports,[cross-check] Total,799733000
2017,Imports,[cross-check] Total,961338000
2018,Imports,[cross-check] Total,952733000
2019,Imports,[cross-check] Total,798402000
2020,Imports,[cross-check] Total,1217571000
2021,Imports,[cross-check] Total,884266000
2022,Imports,[cross-check] Total,840685000
2023,Imports,[cross-check] Total,905487000
2024,Imports,[cross-check] Total,1198426000
