method,sector,flow,RMSE,MAE,MAPE,n_origins
ARIMA,Coastal and maritime tourism,Exports,221225172.396524,130408293.96097034,43.44683419994047,10
BSTS,Coastal and maritime tourism,Exports,233476280.11361247,147845022.26413977,44.31215670285958,10
Combination,Coastal and maritime tourism,Exports,225938096.65283597,139126658.11255506,43.87949545140001,10
ETS,Coastal and maritime tourism,Exports,274594781.5418783,188760432.37089193,52.00618859563446,10
Naive (drift),Coastal and maritime tourism,Exports,252307130.7876128,152781805.86570293,45.69758963181712,10
ARIMA,Coastal and maritime tourism,Imports,195661216.04656386,123635784.32390413,51.349711940599754,10
BSTS,Coastal and maritime tourism,Imports,199600356.81932807,126439230.89891207,52.84556310927031,10
Combination,Coastal and maritime tourism,Imports,197323940.73677146,123916079.03997955,51.717989364185726,10
ETS,Coastal and maritime tourism,Imports,176169250.9805152,117324030.93336195,49.084121491135505,10
Naive (drift),Coastal and maritime tourism,Imports,177270155.91245815,111120928.89137007,49.28497160060273,10
ARIMA,Fisheries and seafood processing,Exports,273339247.4606209,253526375,35.801503758843666,3
BSTS,Fisheries and seafood processing,Exports,157550086.3480157,130172712.593787,17.318151012648066,3
Combination,Fisheries and seafood processing,Exports,192130913.26617956,191849543.79689345,26.55982738574586,3
ETS,Fisheries and seafood processing,Exports,158530183.8049035,148610851.5489074,19.60645707791827,3
Naive (drift),Fisheries and seafood processing,Exports,157737687.51098323,136260311.11111113,18.141906804460465,3
ARIMA,Fisheries and seafood processing,Imports,43658263.63274607,36249230.30297744,17.67275379520482,3
BSTS,Fisheries and seafood processing,Imports,31160117.561887093,26241338.925578486,12.309844835567928,3
Combination,Fisheries and seafood processing,Imports,37082144.9260101,31245284.61427796,14.991299315386373,3
ETS,Fisheries and seafood processing,Imports,49472859.21963295,41499415.62962728,19.187547382336383,3
Naive (drift),Fisheries and seafood processing,Imports,33843478.15748487,27827674.74747475,12.979981360705814,3
ARIMA,Maritime freight transport,Imports,476478191.5000994,352594444.4442724,11.655583864584361,10
BSTS,Maritime freight transport,Imports,436568050.17311466,374295779.5785989,12.990593175980603,10
Combination,Maritime freight transport,Imports,442759484.41038215,358645112.0114356,12.196472851593482,10
ETS,Maritime freight transport,Imports,560598377.7987487,425806279.8100055,15.595837006128384,10
Naive (drift),Maritime freight transport,Imports,376152689.16404134,328203462.3872859,11.594007570357142,10
ARIMA,Port services and logistics,Exports,66328696.433009475,54410493.827130176,26.0318097812953,9
BSTS,Port services and logistics,Exports,67202236.6608889,59010533.562457465,28.17208263989824,9
Combination,Port services and logistics,Exports,64428688.28462317,53154958.139238276,25.148786567254778,9
ETS,Port services and logistics,Exports,59869562.506652586,46557298.194569714,23.457060408734097,9
Naive (drift),Port services and logistics,Exports,69574454.52710544,52646025.642839365,26.44840627543552,9
ARIMA,Port services and logistics,Imports,51210375.809517205,40945959.595959604,233.69834106616406,4
BSTS,Port services and logistics,Imports,58159259.87103637,46984427.028318375,267.2979685260179,4
Combination,Port services and logistics,Imports,47665508.35239582,30092521.31209358,180.13945262935636,4
ETS,Port services and logistics,Imports,47038771.33034893,24998599.296092525,154.33852494956682,4
Naive (drift),Port services and logistics,Imports,52251671.45342399,27459595.95959596,169.94484316852737,4
