sector,flow,year,point_forecast,lo_95,hi_95,model_order
Coastal and maritime tourism,Exports,2025,1096315789.473684,895370071.4048065,1297261507.5425618,"Regression with ARIMA(0,1,0) errors"
Coastal and maritime tourism,Exports,2026,1143631578.9473681,859451419.1535611,1427811738.7411752,"Regression with ARIMA(0,1,0) errors"
Coastal and maritime tourism,Exports,2027,1190947368.4210525,842899175.1623452,1538995561.6797597,"Regression with ARIMA(0,1,0) errors"
Coastal and maritime tourism,Exports,2028,1238263157.8947368,836371721.7569816,1640154594.032492,"Regression with ARIMA(0,1,0) errors"
Coastal and maritime tourism,Exports,2029,1285578947.3684208,836250661.9789027,1734907232.7579389,"Regression with ARIMA(0,1,0) errors"
Coastal and maritime tourism,Imports,2025,443000000,313899160.28407526,572100839.7159247,"Regression with ARIMA(0,1,0) errors"
Coastal and maritime tourism,Imports,2026,443000000,260423841.55998412,625576158.4400159,"Regression with ARIMA(0,1,0) errors"
Coastal and maritime tourism,Imports,2027,443000000,219390786.31221238,666609213.6877877,"Regression with ARIMA(0,1,0) errors"
Coastal and maritime tourism,Imports,2028,443000000,184798320.5681505,701201679.4318495,"Regression with ARIMA(0,1,0) errors"
Coastal and maritime tourism,Imports,2029,443000000,154321746.44288766,731678253.5571123,"Regression with ARIMA(0,1,0) errors"
Fisheries and seafood processing,Exports,2025,700266000,459315537.7301847,941216462.2698153,"Regression with ARIMA(0,1,0) errors"
Fisheries and seafood processing,Exports,2026,700266000,359510588.39796036,1041021411.6020396,"Regression with ARIMA(0,1,0) errors"
Fisheries and seafood processing,Exports,2027,700266000,282927557.241472,1117604442.758528,"Regression with ARIMA(0,1,0) errors"
Fisheries and seafood processing,Exports,2028,700266000,218365075.4603693,1182166924.5396307,"Regression with ARIMA(0,1,0) errors"
Fisheries and seafood processing,Exports,2029,700266000,161484387.15469468,1239047612.8453054,"Regression with ARIMA(0,1,0) errors"
Fisheries and seafood processing,Imports,2025,263328333.33322036,222527414.57908282,304129252.0873579,"Regression with ARIMA(0,1,0) errors"
Fisheries and seafood processing,Imports,2026,278432666.6664407,220731454.00705665,336133879.3258248,"Regression with ARIMA(0,1,0) errors"
Fisheries and seafood processing,Imports,2027,293536999.99966115,222867735.72200507,364206264.2773172,"Regression with ARIMA(0,1,0) errors"
Fisheries and seafood processing,Imports,2028,308641333.33288157,227039495.82460648,390243170.84115666,"Regression with ARIMA(0,1,0) errors"
Fisheries and seafood processing,Imports,2029,323745666.66610193,232512038.7874044,414979294.54479945,"Regression with ARIMA(0,1,0) errors"
Maritime freight transport,Exports,2025,208200000.00000006,35316510.78850865,381083489.21149147,"Regression with ARIMA(0,0,0) errors"
Maritime freight transport,Exports,2026,208200000.00000006,35316510.78850865,381083489.21149147,"Regression with ARIMA(0,0,0) errors"
Maritime freight transport,Exports,2027,208200000.00000006,35316510.78850865,381083489.21149147,"Regression with ARIMA(0,0,0) errors"
Maritime freight transport,Exports,2028,208200000.00000006,35316510.78850865,381083489.21149147,"Regression with ARIMA(0,0,0) errors"
Maritime freight transport,Exports,2029,208200000.00000006,35316510.78850865,381083489.21149147,"Regression with ARIMA(0,0,0) errors"
Maritime freight transport,Imports,2025,4432842105.263158,3640095927.1455216,5225588283.380794,"Regression with ARIMA(0,1,0) errors"
Maritime freight transport,Imports,2026,4611684210.526316,3490571813.912917,5732796607.139714,"Regression with ARIMA(0,1,0) errors"
Maritime freight transport,Imports,2027,4790526315.789474,3417449657.783681,6163602973.795266,"Regression with ARIMA(0,1,0) errors"
Maritime freight transport,Imports,2028,4969368421.052631,3383876064.817359,6554860777.287904,"Regression with ARIMA(0,1,0) errors"
Maritime freight transport,Imports,2029,5148210526.31579,3375576183.1415997,6920844869.489981,"Regression with ARIMA(0,1,0) errors"
Port services and logistics,Exports,2025,258117647.0588235,40605655.088790804,475629639.02885616,"Regression with ARIMA(0,0,0) errors"
Port services and logistics,Exports,2026,258117647.0588235,40605655.088790804,475629639.02885616,"Regression with ARIMA(0,0,0) errors"
Port services and logistics,Exports,2027,258117647.0588235,40605655.088790804,475629639.02885616,"Regression with ARIMA(0,0,0) errors"
Port services and logistics,Exports,2028,258117647.0588235,40605655.088790804,475629639.02885616,"Regression with ARIMA(0,0,0) errors"
Port services and logistics,Exports,2029,258117647.0588235,40605655.088790804,475629639.02885616,"Regression with ARIMA(0,0,0) errors"
Port services and logistics,Imports,2025,39666666.666666664,-60490923.567348294,139824256.90068161,"Regression with ARIMA(0,0,0) errors"
Port services and logistics,Imports,2026,39666666.666666664,-60490923.567348294,139824256.90068161,"Regression with ARIMA(0,0,0) errors"
Port services and logistics,Imports,2027,39666666.666666664,-60490923.567348294,139824256.90068161,"Regression with ARIMA(0,0,0) errors"
Port services and logistics,Imports,2028,39666666.666666664,-60490923.567348294,139824256.90068161,"Regression with ARIMA(0,0,0) errors"
Port services and logistics,Imports,2029,39666666.666666664,-60490923.567348294,139824256.90068161,"Regression with ARIMA(0,0,0) errors"
