origin_year,actual,point_forecast,sector,flow
2014,558000000,503343539.1689016,Coastal and maritime tourism,Exports
2015,631000000,584571309.2214422,Coastal and maritime tourism,Exports
2016,655000000,663900131.2554722,Coastal and maritime tourism,Exports
2017,659000000,693173259.3198054,Coastal and maritime tourism,Exports
2018,679000000,700183168.9868987,Coastal and maritime tourism,Exports
2019,173000000,719171750.1851239,Coastal and maritime tourism,Exports
2020,163000000,221979758.53225762,Coastal and maritime tourism,Exports
2021,581000000,149275203.81314045,Coastal and maritime tourism,Exports
2022,1009000000,556446593.543206,Coastal and maritime tourism,Exports
2023,1049000000,816167098.8239481,Coastal and maritime tourism,Exports
2014,415000000,408464060.4668119,Coastal and maritime tourism,Imports
2015,547000000,461229723.54702395,Coastal and maritime tourism,Imports
2016,571000000,647535974.3788474,Coastal and maritime tourism,Imports
2017,642000000,651593371.9546599,Coastal and maritime tourism,Imports
2018,603000000,705527368.1845567,Coastal and maritime tourism,Imports
2019,142000000,609491226.1009444,Coastal and maritime tourism,Imports
2020,172000000,142046389.30385852,Coastal and maritime tourism,Imports
2021,377000000,171514374.54243305,Coastal and maritime tourism,Imports
2022,473000000,319592366.21592295,Coastal and maritime tourism,Imports
2023,443000000,407060717.2093386,Coastal and maritime tourism,Imports
2021,651301000,568295509.8624116,Fisheries and seafood processing,Exports
2022,858461000,640415468.287919,Fisheries and seafood processing,Exports
2023,700266000,845047532.7970529,Fisheries and seafood processing,Exports
2021,179458000,138933337.6014897,Fisheries and seafood processing,Imports
2022,188466000,179453907.82549605,Fisheries and seafood processing,Imports
2023,248224000,173262507.68413243,Fisheries and seafood processing,Imports
2014,2856000000,3520252404.6012607,Maritime freight transport,Imports
2015,2344000000,3703535479.657121,Maritime freight transport,Imports
2016,2628000000,2596794237.1643505,Maritime freight transport,Imports
2017,2577000000,2880718052.0201616,Maritime freight transport,Imports
2018,2304000000,2721667159.4364414,Maritime freight transport,Imports
2019,2826000000,2313852234.7940016,Maritime freight transport,Imports
2020,3076000000,3011466300.8602843,Maritime freight transport,Imports
2021,3743000000,3266942741.7653713,Maritime freight transport,Imports
2022,3791000000,3991585938.911194,Maritime freight transport,Imports
2023,4254000000,4025640721.9421163,Maritime freight transport,Imports
2015,327000000,382998268.92370844,Port services and logistics,Exports
2016,366000000,327005702.5684306,Port services and logistics,Exports
2017,395000000,365996029.0263649,Port services and logistics,Exports
2018,340000000,394997046.3885328,Port services and logistics,Exports
2019,319000000,340005600.60920703,Port services and logistics,Exports
2020,188000000,319002139.09960437,Port services and logistics,Exports
2021,183000000,188013340.56707698,Port services and logistics,Exports
2022,178000000,183000510.5321682,Port services and logistics,Exports
2023,100000000,178000509.2256251,Port services and logistics,Exports
2020,16000000,110003400.8052621,Port services and logistics,Imports
2021,19000000,16009402.81562297,Port services and logistics,Imports
2022,20000000,18999700.861525364,Port services and logistics,Imports
2023,22000000,19999899.94374367,Port services and logistics,Imports
