sector,flow,year,point_forecast,lo_95,hi_95
Coastal and maritime tourism,Exports,2025,851670404.2735556,335923474.1794078,1367417334.3677034
Coastal and maritime tourism,Exports,2026,887150697.5959338,349917918.4890944,1424383476.702773
Coastal and maritime tourism,Exports,2027,922630990.9183121,363912349.6054312,1481349632.231193
Coastal and maritime tourism,Exports,2028,958111284.2406902,377906762.83729744,1538315805.644083
Coastal and maritime tourism,Exports,2029,993591577.5630685,391901153.707481,1595282001.4186559
Coastal and maritime tourism,Imports,2025,468449001.6158189,209863241.27205735,727034761.9595804
Coastal and maritime tourism,Imports,2026,492351466.68475544,187144452.64423138,797558480.7252796
Coastal and maritime tourism,Imports,2027,516253931.7536919,166655641.56155062,865852221.9458332
Coastal and maritime tourism,Imports,2028,540156396.8226284,147444664.6235991,932868129.0216577
Coastal and maritime tourism,Imports,2029,564058861.8915648,128951721.65312815,999166002.1300015
Fisheries and seafood processing,Exports,2025,720496914.798028,472307685.9853194,968686143.6107366
Fisheries and seafood processing,Exports,2026,720496914.798028,397430899.6502233,1043562929.9458327
Fisheries and seafood processing,Exports,2027,720496914.798028,336901545.9673863,1104092283.6286697
Fisheries and seafood processing,Exports,2028,720496914.798028,284699755.7513557,1156294073.8447003
Fisheries and seafood processing,Exports,2029,720496914.798028,238114368.80575734,1202879460.7902987
Fisheries and seafood processing,Imports,2025,248217965.55397198,140865496.25526547,355570434.8526785
Fisheries and seafood processing,Imports,2026,248217965.55397198,94569590.5904285,401866340.5175154
Fisheries and seafood processing,Imports,2027,248217965.55397198,57746606.53721222,438689324.57073176
Fisheries and seafood processing,Imports,2028,248217965.55397198,25579836.76439476,470856094.3435492
Fisheries and seafood processing,Imports,2029,248217965.55397198,-3780145.3889042437,500216076.4968482
Maritime freight transport,Exports,2025,111008601.60077865,29570153.39575626,192447049.80580103
Maritime freight transport,Exports,2026,111008601.60077865,-8122115.432021931,230139318.63357925
Maritime freight transport,Exports,2027,111008601.60077865,-40024485.9277222,262041689.1292795
Maritime freight transport,Exports,2028,111008601.60077865,-69648954.4745859,291666157.6761432
Maritime freight transport,Exports,2029,111008601.60077865,-98370760.43650548,320387963.6380628
Maritime freight transport,Imports,2025,4502205583.228313,3107112656.5149527,5897298509.941674
Maritime freight transport,Imports,2026,4750435330.341423,2707338149.727255,6793532510.955591
Maritime freight transport,Imports,2027,4998665077.454533,2409267746.020438,7588062408.888627
Maritime freight transport,Imports,2028,5246894824.567642,2154995124.4669147,8338794524.668369
Maritime freight transport,Imports,2029,5495124571.680752,1922888123.7602925,9067361019.601212
Port services and logistics,Exports,2025,100007943.16056603,-31395296.42565176,231411182.74678382
Port services and logistics,Exports,2026,100007943.16056603,-85814838.5550296,285830724.8761617
Port services and logistics,Exports,2027,100007943.16056603,-127573692.81934088,327589579.14047295
Port services and logistics,Exports,2028,100007943.16056603,-162778464.14784062,362794350.4689727
Port services and logistics,Exports,2029,100007943.16056603,-193794695.86234802,393810582.1834801
Port services and logistics,Imports,2025,21999799.937322527,-58318246.009125456,102317845.88377051
Port services and logistics,Imports,2026,21999799.937322527,-91581389.24638838,135580989.12103343
Port services and logistics,Imports,2027,21999799.937322527,-117105859.78979325,161105459.6644383
Port services and logistics,Imports,2028,21999799.937322527,-138624241.2266524,182623841.10129747
Port services and logistics,Imports,2029,21999799.937322527,-157582439.25012195,201582039.124767
