method,flow,RMSE,MAE,n_origins
BSTS,Exports,82453668.2181843,59590283.65562916,15
Combination,Exports,87098757.32231387,65195680.7918341,15
Naive (drift),Exports,87605147.79883455,62884519.78413685,15
ETS,Exports,88776381.42973506,65669258.44266064,15
ARIMA,Exports,94812026.79752687,71802333.25410712,15
BSTS,Imports,19276985.306534283,14720396.302738843,15
Combination,Imports,21406302.734734293,17595288.76013104,15
Naive (drift),Imports,22125814.396682117,16858359.780113604,15
ARIMA,Imports,26185476.335262988,21634108.29085657,15
ETS,Imports,30108608.109917693,26465881.383971382,15
