origin_year,actual,ARIMA,BSTS,Combination,Naive (drift),ETS,flow
2009,127938916,76056193.1,98832029.18938799,87444111.144694,90890233.22222222,76056197.33994105,Exports
2010,160327040,80772804.27272728,120072417.75501537,100422611.01387133,135613393.5,78995867.70174316,Exports
2011,160058035,160327040,149776684.23169535,155051862.11584768,170248212.63636363,125505594.35096085,Exports
2012,144350419,160058035,165833282.44650757,162945658.7232538,169130026.16666666,147412791.93155456,Exports
2013,152874508.998,144350419,160114918.94351065,152232668.97175533,151516286.53846154,145642166.84574372,Exports
2014,139249532.331,152874508.998,165053937.96405923,158964223.48102963,160137392.42642856,149390217.86870378,Exports
2015,176313040.049,139249532.331,159688852.83131778,149469192.58115888,145119891.75306666,167645614.9603712,Exports
2016,107985855.041,176313040.049,174867472.06010234,175590256.05455118,184132971.23956248,175860798.21710113,Exports
2017,304853376.984,107985855.041,143145728.30171993,125565791.67135996,111326544.10223529,174216718.42069894,Exports
2018,240650550.513,152791426.8104552,223592740.8042675,188192083.80736136,318945556.76088893,191606964.3612654,Exports
2019,318399732.072,276046192.29921067,238250644.3616293,257148418.33042,250621940.48736843,211417244.3917471,Exports
2020,336540550.839,318399732.072,305088043.8819021,311743887.97695106,331760011.62560004,246557778.92127827,Exports
2021,389850490.937,258791369.27999997,342922240.2769514,300856804.77847564,350128475.1170476,286383949.1611803,Exports
2022,567293127.851,389850490.937,397858837.3350624,393854664.13603115,405243961.38868177,336954242.0016639,Exports
2023,418934230.814,567293127.851,588382548.3282067,577837838.0896033,589732214.235826,428778075.022144,Exports
2009,56286717,35570321.49999999,55339209.962428845,45454765.73121442,58441013.222222224,35570324.04163322,Imports
2010,70330356,37453630.18181818,62776948.37226986,50115289.27704402,60849202.6,39125517.63027668,Imports
2011,82312599,40193357.33333334,69709552.65561287,54951454.99447311,75754764.63636364,39128638.716597274,Imports
2012,83932133,82312599,80160748.30527647,81236673.65263823,88283493.83333333,58620119.24621598,Imports
2013,91964805.767,83932133,86984111.85875855,85458122.42937928,89568307.76923077,70269321.0473391,Imports
2014,98127390.388,91964805.767,94559704.9413747,93262255.35418735,97772158.96464287,80111057.23988982,Imports
2015,106740775.829,98127390.388,100732752.85130605,99430071.61965302,103958425.68053333,97167594.43566102,Imports
2016,83499126.425,106740775.829,107768368.91859414,107254572.37379706,112745708.0058125,103742482.06708029,Imports
2017,92228579.475,83499126.425,101785954.97712077,92642540.70106038,87783671.44999999,104982586.047775,Imports
2018,136546141.157,92228579.475,103208060.17577305,97718319.82538652,96760063.83472222,107713673.802064,Imports
2019,109579631.23,136546141.157,120774790.2112922,128660465.6841461,143171629.58631578,116564192.86307684,Imports
2020,145357432.802,109579631.23,125419009.58872347,117499320.40936173,114525519.7415,120274050.63618523,Imports
2021,177847159.67000002,172323942.72899997,137736733.87297204,155030338.300986,151771507.64971426,129477890.38725902,Imports
2022,162339542.009,177847159.67000002,169281204.61236733,173564182.14118367,185446491.42772728,139414541.09823158,Imports
2023,206646816.321,162339542.009,170622989.38879588,166481265.69889796,168934223.792,144552843.7500085,Imports
