flow,year,method,point_forecast,lo_95,hi_95
Exports,2025,ARIMA,418934230.814,269770906.4056554,568097555.2223446
Exports,2026,ARIMA,418934230.814,207985434.4270613,629883027.2009387
Exports,2027,ARIMA,418934230.814,160575774.31286827,677292687.3151318
Exports,2028,ARIMA,418934230.814,120607581.9973107,717260879.6306894
Exports,2029,ARIMA,418934230.814,85394897.68708777,752473563.9409122
Imports,2025,ARIMA,206646816.321,147217869.09904242,266075763.5429576
Imports,2026,ARIMA,206646816.321,122601593.16215272,290692039.4798473
Imports,2027,ARIMA,206646816.321,103712860.29224019,309580772.3497598
Imports,2028,ARIMA,206646816.321,87788921.87708484,325504710.76491517
Imports,2029,ARIMA,206646816.321,73759650.50145555,339533982.1405445
Exports,2025,BSTS,512090523.28661746,375056015.7400882,652385481.7927406
Exports,2026,BSTS,548435982.5068105,377592939.2328756,719064710.956867
Exports,2027,BSTS,586920077.1195685,390706120.38986456,798383857.7992294
Exports,2028,BSTS,623732108.488837,372166829.51672316,883443845.9462209
Exports,2029,BSTS,658680150.0273864,381854035.3368193,964621777.2657
Imports,2025,BSTS,193488077.1685873,134919283.24171358,255722390.34189475
Imports,2026,BSTS,204644201.52290997,137550320.25463048,283316539.5720506
Imports,2027,BSTS,216275091.21064985,147196962.7247488,305349101.3537024
Imports,2028,BSTS,227441459.48741233,152670138.97621623,333881785.6063644
Imports,2029,BSTS,237719513.01460654,154191695.7389963,365059980.6941446
